2024-09-01_100__723.txt	  Number of steps:100	 Steps accepted:13	 acc = 0.13	min(-loglike) = 0.93
2024-09-01_100__173.txt	  Number of steps:100	 Steps accepted:9	 acc = 0.09	min(-loglike) = 1.16
2024-09-01_100__396.txt	  Number of steps:100	 Steps accepted:13	 acc = 0.13	min(-loglike) = 7.74
2024-09-01_100__520.txt	  Number of steps:100	 Steps accepted:41	 acc = 0.41	min(-loglike) = 52759400000.00
2024-09-01_100__100.txt	  Number of steps:100	 Steps accepted:7	 acc = 0.07	min(-loglike) = 3.14
2024-09-01_100__748.txt	  Number of steps:100	 Steps accepted:12	 acc = 0.12	min(-loglike) = 0.92
2024-09-01_100__631.txt	  Number of steps:100	 Steps accepted:1	 acc = 0.01	min(-loglike) = nan
2024-09-01_100__755.txt	  Number of steps:100	 Steps accepted:11	 acc = 0.11	min(-loglike) = 12.49
2024-09-01_100__217.txt	  Number of steps:100	 Steps accepted:9	 acc = 0.09	min(-loglike) = 1.09
2024-09-01_100__292.txt	  Number of steps:100	 Steps accepted:10	 acc = 0.1	min(-loglike) = 2.42
2024-09-01_100__596.txt	  Number of steps:100	 Steps accepted:15	 acc = 0.15	min(-loglike) = 3.21
2024-09-01_100__196.txt	  Number of steps:100	 Steps accepted:12	 acc = 0.12	min(-loglike) = 1.50
2024-09-01_100__759.txt	  Number of steps:100	 Steps accepted:12	 acc = 0.12	min(-loglike) = 0.38
2024-09-01_100__678.txt	  Number of steps:100	 Steps accepted:13	 acc = 0.13	min(-loglike) = 0.85
2024-09-01_100__688.txt	  Number of steps:100	 Steps accepted:55	 acc = 0.55	min(-loglike) = 2013620000000.00
2024-09-01_100__389.txt	  Number of steps:100	 Steps accepted:11	 acc = 0.11	min(-loglike) = 1.17
2024-09-01_100__312.txt	  Number of steps:100	 Steps accepted:1	 acc = 0.01	min(-loglike) = nan
2024-09-01_100__15.txt	  Number of steps:100	 Steps accepted:17	 acc = 0.17	min(-loglike) = 0.69
2024-09-01_100__463.txt	  Number of steps:100	 Steps accepted:1	 acc = 0.01	min(-loglike) = nan
2024-09-01_100__990.txt	  Number of steps:100	 Steps accepted:55	 acc = 0.55	min(-loglike) = 851110000000.00
2024-09-01_100__14.txt	  Number of steps:100	 Steps accepted:54	 acc = 0.54	min(-loglike) = 16746100.00
2024-09-01_100__587.txt	  Number of steps:100	 Steps accepted:54	 acc = 0.54	min(-loglike) = 79224000000.00
2024-09-01_100__968.txt	  Number of steps:100	 Steps accepted:5	 acc = 0.05	min(-loglike) = 0.74
2024-09-01_100__166.txt	  Number of steps:100	 Steps accepted:49	 acc = 0.49	min(-loglike) = 87067.30
2024-09-01_100__147.txt	  Number of steps:100	 Steps accepted:61	 acc = 0.61	min(-loglike) = 3149520000000.00
2024-09-01_100__73.txt	  Number of steps:100	 Steps accepted:20	 acc = 0.2	min(-loglike) = 2.03
2024-09-01_100__406.txt	  Number of steps:100	 Steps accepted:6	 acc = 0.06	min(-loglike) = 0.12
2024-09-01_100__809.txt	  Number of steps:100	 Steps accepted:1	 acc = 0.01	min(-loglike) = nan
2024-09-01_100__228.txt	  Number of steps:100	 Steps accepted:10	 acc = 0.1	min(-loglike) = 2.02
2024-09-01_100__19.txt	  Number of steps:100	 Steps accepted:10	 acc = 0.1	min(-loglike) = 0.61
2024-09-01_100__886.txt	  Number of steps:100	 Steps accepted:53	 acc = 0.53	min(-loglike) = 5706390000000.00
2024-09-01_100__12.txt	  Number of steps:100	 Steps accepted:51	 acc = 0.51	min(-loglike) = 982051000.00
2024-09-01_100__614.txt	  Number of steps:100	 Steps accepted:8	 acc = 0.08	min(-loglike) = 4.31
2024-09-01_100__282.txt	  Number of steps:100	 Steps accepted:1	 acc = 0.01	min(-loglike) = nan
2024-09-01_100__668.txt	  Number of steps:100	 Steps accepted:16	 acc = 0.16	min(-loglike) = 12.26
2024-09-01_100__484.txt	  Number of steps:100	 Steps accepted:42	 acc = 0.42	min(-loglike) = 11658.70
2024-09-01_100__346.txt	  Number of steps:100	 Steps accepted:13	 acc = 0.13	min(-loglike) = 2.89
2024-09-01_100__952.txt	  Number of steps:100	 Steps accepted:8	 acc = 0.08	min(-loglike) = 0.95
2024-09-01_100__363.txt	  Number of steps:100	 Steps accepted:6	 acc = 0.06	min(-loglike) = 0.87
2024-09-01_100__248.txt	  Number of steps:100	 Steps accepted:1	 acc = 0.01	min(-loglike) = nan
2024-09-01_100__983.txt	  Number of steps:100	 Steps accepted:54	 acc = 0.54	min(-loglike) = 3394670000.00
2024-09-01_100__417.txt	  Number of steps:100	 Steps accepted:12	 acc = 0.12	min(-loglike) = 3.02
2024-09-01_100__542.txt	  Number of steps:100	 Steps accepted:12	 acc = 0.12	min(-loglike) = 1.15
2024-09-01_100__703.txt	  Number of steps:100	 Steps accepted:45	 acc = 0.45	min(-loglike) = 61075000.00
2024-09-01_100__94.txt	  Number of steps:100	 Steps accepted:13	 acc = 0.13	min(-loglike) = 2.05
2024-09-01_100__734.txt	  Number of steps:100	 Steps accepted:14	 acc = 0.14	min(-loglike) = 0.50
2024-09-01_100__333.txt	  Number of steps:100	 Steps accepted:54	 acc = 0.54	min(-loglike) = 15618700000000.00
2024-09-01_100__393.txt	  Number of steps:100	 Steps accepted:1	 acc = 0.01	min(-loglike) = nan
2024-09-01_100__966.txt	  Number of steps:100	 Steps accepted:18	 acc = 0.18	min(-loglike) = 4.31
2024-09-01_100__521.txt	  Number of steps:100	 Steps accepted:8	 acc = 0.08	min(-loglike) = 1.81
2024-09-01_100__324.txt	  Number of steps:100	 Steps accepted:7	 acc = 0.07	min(-loglike) = 1.17
2024-09-01_100__722.txt	  Number of steps:100	 Steps accepted:44	 acc = 0.44	min(-loglike) = 1238340000000.00
2024-09-01_100__491.txt	  Number of steps:100	 Steps accepted:20	 acc = 0.2	min(-loglike) = 4.37
2024-09-01_100__108.txt	  Number of steps:100	 Steps accepted:16	 acc = 0.16	min(-loglike) = 1.74
2024-09-01_100__610.txt	  Number of steps:100	 Steps accepted:8	 acc = 0.08	min(-loglike) = 0.74
2024-09-01_100__993.txt	  Number of steps:100	 Steps accepted:36	 acc = 0.36	min(-loglike) = 9133.15
2024-09-01_100__593.txt	  Number of steps:100	 Steps accepted:15	 acc = 0.15	min(-loglike) = 0.82
2024-09-01_100__269.txt	  Number of steps:100	 Steps accepted:6	 acc = 0.06	min(-loglike) = 2.66
2024-09-01_100__329.txt	  Number of steps:100	 Steps accepted:12	 acc = 0.12	min(-loglike) = 2.70
2024-09-01_100__267.txt	  Number of steps:100	 Steps accepted:11	 acc = 0.11	min(-loglike) = 0.83
2024-09-01_100__200.txt	  Number of steps:100	 Steps accepted:7	 acc = 0.07	min(-loglike) = 0.15
2024-09-01_100__680.txt	  Number of steps:100	 Steps accepted:7	 acc = 0.07	min(-loglike) = 2.18
