1  7.31683	-7.162182e+00	4.885104e+00	1.256510e+00	2.260638e+00	9.970838e-01	0.000000e+00	2.100000e+01	1.530000e+00	1.490000e+06	8.200000e-01	2.000000e-01	2.880000e+02	7.000000e+03	1.500000e+01	1.900000e+01	1.485330e+03	1.000000e+00	1.770000e-06	4.260539e-09	3.288790e-08	
14  5.96174	-8.137603e+00	5.467394e+00	1.836663e+00	2.348824e+00	9.979490e-01	0.000000e+00	2.100000e+01	1.530000e+00	1.490000e+06	8.200000e-01	2.000000e-01	2.880000e+02	7.000000e+03	1.500000e+01	1.900000e+01	1.485330e+03	1.000000e+00	1.770000e-06	4.462622e-09	2.995816e-08	
11  5.92438	-8.137603e+00	5.467394e+00	1.836663e+00	2.348824e+00	9.979490e-01	-4.609077e-10	2.100000e+01	1.529999e+00	1.490000e+06	8.181773e-01	1.958348e-01	2.876000e+02	7.002734e+03	1.499992e+01	1.903448e+01	1.491135e+03	9.994965e-01	1.770080e-06	4.462622e-09	2.995816e-08	
6  4.69004	-8.137603e+00	5.467394e+00	1.836663e+00	2.348824e+00	9.979490e-01	-3.230877e-10	2.099999e+01	1.530001e+00	1.490000e+06	8.199977e-01	1.946379e-01	2.871166e+02	6.998255e+03	1.500094e+01	1.905538e+01	1.488804e+03	9.994328e-01	1.770035e-06	4.462622e-09	2.995816e-08	
27  3.42539	-8.137603e+00	5.467394e+00	1.836663e+00	2.348824e+00	9.979490e-01	-4.335745e-10	2.099995e+01	1.530004e+00	1.490000e+06	8.241248e-01	1.997869e-01	2.873400e+02	7.001370e+03	1.500113e+01	1.905484e+01	1.488387e+03	9.995028e-01	1.769796e-06	4.462622e-09	2.995816e-08	
1  4.53173	-8.137603e+00	5.467394e+00	1.836663e+00	2.348824e+00	9.979490e-01	-9.904209e-10	2.099991e+01	1.530005e+00	1.489999e+06	8.233492e-01	1.965358e-01	2.872215e+02	7.001337e+03	1.499915e+01	1.901845e+01	1.487939e+03	1.000006e+00	1.769493e-06	4.462622e-09	2.995816e-08	
1  2.1194	-8.137603e+00	5.467394e+00	1.836663e+00	2.348824e+00	9.979490e-01	-1.827499e-09	2.099991e+01	1.530007e+00	1.489999e+06	8.207753e-01	2.011702e-01	2.874286e+02	7.002937e+03	1.499954e+01	1.902405e+01	1.486967e+03	9.995949e-01	1.769176e-06	4.462622e-09	2.995816e-08	
16  3.39402	-8.137603e+00	5.467394e+00	1.836663e+00	2.348824e+00	9.979490e-01	-1.694389e-09	2.099988e+01	1.530007e+00	1.489999e+06	8.247004e-01	2.037106e-01	2.879758e+02	7.010305e+03	1.499981e+01	1.899095e+01	1.487115e+03	9.997061e-01	1.769381e-06	4.462622e-09	2.995816e-08	
3  1.97775	-8.137603e+00	5.467394e+00	1.836663e+00	2.348824e+00	9.979490e-01	-1.892975e-09	2.099991e+01	1.530006e+00	1.489999e+06	8.236792e-01	2.048496e-01	2.883399e+02	7.002825e+03	1.499904e+01	1.898385e+01	1.487179e+03	9.997669e-01	1.769357e-06	4.462622e-09	2.995816e-08	
20  1.75983	-8.137603e+00	5.467394e+00	1.836663e+00	2.348824e+00	9.979490e-01	-2.256180e-09	2.099991e+01	1.530007e+00	1.489999e+06	8.212972e-01	2.033960e-01	2.876396e+02	6.996655e+03	1.499857e+01	1.899407e+01	1.492816e+03	1.000139e+00	1.769549e-06	4.462622e-09	2.995816e-08	
