# SD_tot is the amplitude of the overall spectral distortion (SD)
# The SD[i] are the amplitudes of the individual SDs
# The SDs are given in units [10^-26 W m^-2 Hz^-1 sr^-1] 
#
# 1:Dimensionless frequency x     2:Frequency nu [GHz]     3:SD_tot                 4:SD[g]                  5:SD[y]                  6:SD[mu]                 7:SD[e_0]                8:SD[e_1]            
       4.490205551136e+00       2.550000000000e+02       8.367594100997e+00       0.000000000000e+00       2.560364026462e+00       5.615713569190e+00       1.915063412232e-01       1.016412200419e-05 
       4.754335289439e+00       2.700000000000e+02       9.357186577099e+00       0.000000000000e+00       3.474674975359e+00       5.677194089492e+00       2.048775646295e-01       4.399476187872e-04 
       5.018465027741e+00       2.850000000000e+02       1.011311543825e+01       0.000000000000e+00       4.277836763768e+00       5.632861197302e+00       2.016279731050e-01       7.895040766585e-04 
       5.282594766043e+00       3.000000000000e+02       1.063605604069e+01       0.000000000000e+00       4.951175832907e+00       5.499320152274e+00       1.845218747005e-01       1.038180813559e-03 
       5.546724504345e+00       3.150000000000e+02       1.093671513152e+01       0.000000000000e+00       5.485148918733e+00       5.293659380328e+00       1.567279803616e-01       1.178852092863e-03 
       5.810854242647e+00       3.300000000000e+02       1.103343350987e+01       0.000000000000e+00       5.878115129083e+00       5.032503238599e+00       1.215993050422e-01       1.215837146704e-03 
       6.074983980949e+00       3.450000000000e+02       1.094957874775e+01       0.000000000000e+00       6.134849528808e+00       4.731303498893e+00       8.226465956255e-02       1.161060489482e-03 
       6.339113719251e+00       3.600000000000e+02       1.071142480124e+01       0.000000000000e+00       6.265005232471e+00       4.403913473864e+00       4.147495590257e-02       1.031139003810e-03 
       6.603243457554e+00       3.750000000000e+02       1.034627663425e+01       0.000000000000e+00       6.281599526853e+00       4.062330201020e+00       1.502094234250e-03       8.448121430148e-04 
       6.867373195856e+00       3.900000000000e+02       9.881056047885e+00       0.000000000000e+00       6.199702530353e+00       3.716621872300e+00      -3.588950012788e-02       6.211453594909e-04 
       7.131502934158e+00       4.050000000000e+02       9.341157221929e+00       0.000000000000e+00       6.035287195342e+00       3.374952660793e+00      -6.945981627457e-02       3.771820683253e-04 
       7.395632672460e+00       4.200000000000e+02       8.749776327142e+00       0.000000000000e+00       5.804329907020e+00       3.043714493359e+00      -9.839655391435e-02       1.284806771072e-04 
       7.659762410762e+00       4.350000000000e+02       8.127404324624e+00       0.000000000000e+00       5.522123917656e+00       2.727683649977e+00      -1.222908231889e-01      -1.124198196262e-04 
       7.923892149064e+00       4.500000000000e+02       7.491636700935e+00       0.000000000000e+00       5.202791884902e+00       2.430234655522e+00      -1.410539651555e-01      -3.358743333041e-04 
       8.188021887366e+00       4.650000000000e+02       6.857126848629e+00       0.000000000000e+00       4.858970051544e+00       2.153536983827e+00      -1.548451481841e-01      -5.350385569815e-04 
       8.452151625668e+00       4.800000000000e+02       6.235716689941e+00       0.000000000000e+00       4.501653768203e+00       1.898775633581e+00      -1.640071604453e-01      -7.055513972838e-04 
       8.716281363971e+00       4.950000000000e+02       5.636637801069e+00       0.000000000000e+00       4.140146000906e+00       1.666330262706e+00      -1.689930196075e-01      -8.454429358772e-04 
       8.980411102273e+00       5.100000000000e+02       5.066760497675e+00       0.000000000000e+00       3.782091659374e+00       1.455958715144e+00      -1.703355796006e-01      -9.542972429199e-04 
       9.244540840575e+00       5.250000000000e+02       4.530895727251e+00       0.000000000000e+00       3.433573716228e+00       1.266949036806e+00      -1.685938382995e-01      -1.033187483830e-03 
