# Heat is d(Q/rho)/dz
# LHeat is d(Q/rho)/dlnz
#
#    1:Redshift z             2:Heat  [-]              3:LHeat [-]          
       1.021000000000e+03       7.953519466154e-13       8.128496894409e-10 
       1.042921610622e+03       1.512134736464e-12       1.578550129566e-09 
       1.065313894125e+03       2.254705698740e-12       2.404224013730e-09 
       1.088186956199e+03       2.904410989078e-12       3.163446564744e-09 
       1.111551119507e+03       3.389562014518e-12       3.771061013890e-09 
       1.135416928349e+03       3.689122818736e-12       4.192381621971e-09 
       1.159795153419e+03       3.817835571435e-12       4.431725027874e-09 
       1.184696796666e+03       3.808452500862e-12       4.515669930525e-09 
       1.210133096256e+03       3.698399279436e-12       4.479253770493e-09 
       1.236115531649e+03       3.522013109109e-12       4.357137119950e-09 
       1.262655828778e+03       3.307404476867e-12       4.179420945318e-09 
       1.289765965338e+03       3.076069808864e-12       3.970486216285e-09 
       1.317458176195e+03       2.843917476950e-12       3.749586249910e-09 
       1.345744958907e+03       2.622686336361e-12       3.532089602289e-09 
       1.374639079363e+03       2.421110339790e-12       3.330573998866e-09 
       1.404153577545e+03       2.245670447176e-12       3.155511862836e-09 
       1.434301773412e+03       2.100962284020e-12       3.015514892125e-09 
       1.465097272913e+03       1.989536888457e-12       2.916854606526e-09 
       1.496553974127e+03       1.911255117962e-12       2.862207697475e-09 
       1.528686073535e+03       1.862819175271e-12       2.849528549927e-09 
       1.561508072425e+03       1.834512513043e-12       2.866440610595e-09 
       1.595034783441e+03       1.818560619998e-12       2.902486005312e-09 
       1.629281337261e+03       1.808725897478e-12       2.948732074880e-09 
       1.664263189434e+03       1.801195969406e-12       2.999465344810e-09 
       1.699996127349e+03       1.793819868582e-12       3.051280649620e-09 
       1.736496277361e+03       1.784229582577e-12       3.100092257686e-09 
       1.773780112071e+03       1.769897588027e-12       3.141179039633e-09 
       1.811864457757e+03       1.750108651495e-12       3.172709771509e-09 
       1.850766501971e+03       1.726098273581e-12       3.196330962127e-09 
       1.890503801293e+03       1.699707860010e-12       3.215003878297e-09 
       1.931094289257e+03       1.672423476038e-12       3.231279847272e-09 
       1.972556284441e+03       1.645144999204e-12       3.246786251996e-09 
       2.014908498738e+03       1.618294632949e-12       3.262333904025e-09 
       2.058170045798e+03       1.591998099304e-12       3.278194799054e-09 
       2.102360449654e+03       1.566223589289e-12       3.294332753025e-09 
       2.147499653537e+03       1.540871557637e-12       3.310562007727e-09 
       2.193608028870e+03       1.515833317748e-12       3.326659969559e-09 
       2.240706384468e+03       1.491048754928e-12       3.342493513475e-09 
       2.288815975926e+03       1.466525840001e-12       3.358074297543e-09 
       2.337958515210e+03       1.442277492035e-12       3.373427221290e-09 
       2.388156180460e+03       1.418279830419e-12       3.388492022467e-09 
       2.439431625996e+03       1.394486466377e-12       3.403148874571e-09 
       2.491807992542e+03       1.370860509323e-12       3.417292034302e-09 
       2.545308917671e+03       1.347396315184e-12       3.430887252990e-09 
       2.599958546472e+03       1.324131832187e-12       3.444012005581e-09 
       2.655781542445e+03       1.301156752365e-12       3.456889243512e-09 
       2.712803098635e+03       1.278605112093e-12       3.469882515128e-09 
       2.771048949000e+03       1.256615993907e-12       3.483401045206e-09 
       2.830545380022e+03       1.235235641749e-12       3.497625774634e-09 
       2.891319242577e+03       1.214325682190e-12       3.512217537353e-09 
       2.953397964045e+03       1.193808132167e-12       3.526984315133e-09 
       3.016809560694e+03       1.173580889115e-12       3.541643627419e-09 
       3.081582650322e+03       1.153598931343e-12       3.556064051188e-09 
       3.147746465169e+03       1.133848910955e-12       3.570202750406e-09 
       3.215330865116e+03       1.114330967609e-12       3.584057085075e-09 
       3.284366351155e+03       1.095050691055e-12       3.597642693199e-09 
       3.354884079156e+03       1.076016086072e-12       3.610985252164e-09 
       3.426915873930e+03       1.057235478661e-12       3.624114279786e-09 
       3.500494243589e+03       1.038716772034e-12       3.637060797998e-09 
       3.575652394218e+03       1.020467657293e-12       3.649858089678e-09 
       3.652424244860e+03       1.002494895943e-12       3.662539158184e-09 
       3.730844442824e+03       9.848050184944e-13       3.675139135533e-09 
       3.810948379323e+03       9.674035975545e-13       3.687692575850e-09 
       3.892772205446e+03       9.502956681360e-13       3.700234859544e-09 
       3.976352848470e+03       9.334860394862e-13       3.712803358157e-09 
       4.061728028528e+03       9.169787445920e-13       3.725435247218e-09 
       4.148936275632e+03       9.007774776633e-13       3.738169130827e-09 
       4.238016947061e+03       8.848857838103e-13       3.751045833785e-09 
       4.329010245123e+03       8.693065155827e-13       3.764106118625e-09 
       4.421957235301e+03       8.540426309050e-13       3.777394033617e-09 
       4.516899864781e+03       8.390962486661e-13       3.790952828386e-09 
       4.613880981385e+03       8.244689242475e-13       3.804825958253e-09 
       4.712944352913e+03       8.101622365375e-13       3.819059699869e-09 
       4.814134686886e+03       7.961742927209e-13       3.833686453688e-09 
       4.917497650732e+03       7.824978993885e-13       3.848714079845e-09 
       5.023079892390e+03       7.691122417188e-13       3.864081348611e-09 
       5.130929061365e+03       7.559644176974e-13       3.879555764539e-09 
       5.241093830230e+03       7.429285650130e-13       3.894501246956e-09 
       5.353623916595e+03       7.297230761273e-13       3.907392635923e-09 
       5.468570105543e+03       7.157706071058e-13       3.914957515052e-09 
       5.585984272547e+03       7.000600861446e-13       3.911224691128e-09 
       5.705919406888e+03       6.813800270703e-13       3.888580899954e-09 
       5.828429635564e+03       6.594716525270e-13       3.844343595055e-09 
       5.953570247716e+03       6.363111041241e-13       3.788959168909e-09 
       6.081397719586e+03       6.149229778405e-13       3.740206118138e-09 
