# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:phiphi                 4:TPhi               
    2       1.388758740219e-10       8.307634160629e-09       4.572450713902e-10 
    3       1.312622150544e-10       5.101021646429e-09       3.233449653959e-10 
    4       1.241210961214e-10       3.532106738058e-09       2.443916029616e-10 
    5       1.187781105632e-10       2.627879040263e-09       1.928017443633e-10 
    6       1.151110823335e-10       2.047254279774e-09       1.567091859445e-10 
    7       1.127171610881e-10       1.647880177040e-09       1.302437571980e-10 
    8       1.113136813022e-10       1.359339318931e-09       1.101924003371e-10 
    9       1.106508188342e-10       1.142868499404e-09       9.465108439880e-11 
   10       1.104966873458e-10       9.755784468021e-10       8.234848683510e-11 
   11       1.107916312559e-10       8.351365138867e-10       7.314481389758e-11 
   12       1.113835575025e-10       7.298455435266e-10       6.467302217342e-11 
   13       1.122216367606e-10       6.433919815436e-10       5.779277309325e-11 
   14       1.132577361901e-10       5.714508126848e-10       5.180026083620e-11 
   15       1.144788047658e-10       5.108893659940e-10       4.675989356450e-11 
   16       1.158098617482e-10       4.593898284178e-10       4.241585692897e-11 
   17       1.172776544690e-10       4.152049094116e-10       3.862493368660e-11 
   18       1.188191371828e-10       3.768534890733e-10       3.531850950620e-11 
   19       1.204456794945e-10       3.437164390153e-10       3.244922695886e-11 
   20       1.221497583576e-10       3.145306007850e-10       2.990247658037e-11 
   21       1.239326252765e-10       2.888368976527e-10       2.763208356291e-11 
   22       1.257681509517e-10       2.660167039804e-10       2.558086553538e-11 
   23       1.276626850438e-10       2.457645551410e-10       2.374031532367e-11 
   24       1.296103983632e-10       2.276180908750e-10       2.209381093637e-11 
   25       1.316060764329e-10       2.113311788449e-10       2.061907915923e-11 
   26       1.336320224154e-10       1.965850936874e-10       1.927918861244e-11 
   27       1.356978554062e-10       1.833033908943e-10       1.806484888808e-11 
   28       1.378062395508e-10       1.713251215457e-10       1.696062120934e-11 
   29       1.399461851972e-10       1.603594331865e-10       1.594007124156e-11 
   30       1.421242936617e-10       1.503458649977e-10       1.500213521570e-11 
   31       1.443422637050e-10       1.412100733512e-10       1.414686776426e-11 
   32       1.465919974660e-10       1.328075048116e-10       1.336726436671e-11 
   33       1.488729682047e-10       1.250923927452e-10       1.265675056200e-11 
   34       1.511788011554e-10       1.179964163490e-10       1.200300113543e-11 
   35       1.534981819537e-10       1.114139649950e-10       1.139018768089e-11 
   36       1.558380983723e-10       1.053279608426e-10       1.081622063216e-11 
   37       1.582071676098e-10       9.971933874824e-11       1.028066577777e-11 
   38       1.606086459636e-10       9.452900625414e-11       9.779774514397e-12 
   39       1.630415180028e-10       8.967915774014e-11       9.308269248161e-12 
   40       1.655058005774e-10       8.515494203666e-11       8.866199631424e-12 
   41       1.679979531710e-10       8.094445991883e-11       8.453895822307e-12 
   42       1.705087768009e-10       7.701439582502e-11       8.069915694959e-12 
   43       1.730278869974e-10       7.332233943062e-11       7.711749999985e-12 
   44       1.755600425041e-10       6.986260476503e-11       7.378571750278e-12 
   45       1.781130234191e-10       6.663166418164e-11       7.069080012450e-12 
   46       1.806928742526e-10       6.361439140753e-11       6.780613595871e-12 
   47       1.833036959051e-10       6.078315726031e-11       6.509049090222e-12 
   48       1.859476352980e-10       5.810633473796e-11       6.249991848249e-12 
   49       1.886253361962e-10       5.557875931290e-11       6.002983840644e-12 
   50       1.913352580613e-10       5.319830136171e-11       5.768306761004e-12 
   51       1.940732964274e-10       5.095679268972e-11       5.545757531888e-12 
   52       1.968325849626e-10       4.883960231783e-11       5.334612308962e-12 
   53       1.996061675233e-10       4.683023029157e-11       5.133938408932e-12 
   54       2.023962766053e-10       4.492645240947e-11       4.943707118633e-12 
   55       2.052070958026e-10       4.312758765331e-11       4.763904301223e-12 
   56       2.080420227986e-10       4.142963455059e-11       4.594186593539e-12 
   57       2.109035917636e-10       3.982505736058e-11       4.433859998245e-12 
   58       2.137933957518e-10       3.830257226039e-11       4.281858475985e-12 
   59       2.167124027750e-10       3.685025288381e-11       4.137032660371e-12 
   60       2.196621659903e-10       3.546617472913e-11       3.999142919793e-12 
   61       2.226437579018e-10       3.414986920714e-11       3.868059488650e-12 
   62       2.256573384481e-10       3.289912240973e-11       3.743461948934e-12 
   63       2.287020907448e-10       3.170987381641e-11       3.624828335014e-12 
   64       2.317761568265e-10       3.057611500078e-11       3.511424238422e-12 
   65       2.348775566678e-10       2.949154724377e-11       3.402504813050e-12 
   66       2.380073158001e-10       2.845518992204e-11       3.297994987427e-12 
   67       2.411668871600e-10       2.746678231724e-11       3.197934259080e-12 
   68       2.443571901912e-10       2.652507839632e-11       3.102271657968e-12 
   69       2.475785740910e-10       2.562779471832e-11       3.010860806519e-12 
   70       2.508307810566e-10       2.477155834093e-11       2.923454979678e-12 
   71       2.541129095314e-10       2.395185472728e-11       2.839702164945e-12 
   72       2.574239985165e-10       2.316418884396e-11       2.759240245968e-12 
   73       2.607649920251e-10       2.240794223985e-11       2.682014682907e-12 
   74       2.641370870411e-10       2.168316563968e-11       2.608013167432e-12 
   75       2.675411236748e-10       2.098940737240e-11       2.537168293267e-12 
   76       2.709775625890e-10       2.032568897627e-11       2.469354902156e-12 
   77       2.744464624249e-10       1.969048080399e-11       2.404387429830e-12 
   78       2.779474572282e-10       1.908167762785e-11       2.342017251978e-12 
   79       2.814797338748e-10       1.849657424480e-11       2.281930030212e-12 
   80       2.850424767323e-10       1.793253731411e-11       2.223823635670e-12 
   81       2.886363402387e-10       1.738920890649e-11       2.167663343424e-12 
   82       2.922621920486e-10       1.686664289498e-11       2.113466319186e-12 
   83       2.959206548055e-10       1.636463138781e-11       2.061223834095e-12 
   84       2.996120922202e-10       1.588269322662e-11       2.010900102863e-12 
   85       3.033365951495e-10       1.542006248485e-11       1.962431121922e-12 
   86       3.070939676743e-10       1.497567696604e-11       1.915723507565e-12 
   87       3.108837131786e-10       1.454816670210e-11       1.870653334099e-12 
   88       3.147050204275e-10       1.413584245169e-11       1.827064971988e-12 
   89       3.185570757743e-10       1.373709796316e-11       1.784809555640e-12 
   90       3.224400862537e-10       1.335171415156e-11       1.743869834918e-12 
   91       3.263543920762e-10       1.297973926551e-11       1.704252859270e-12 
   92       3.303001458770e-10       1.262108810579e-11       1.665951531363e-12 
   93       3.342773036805e-10       1.227553672240e-11       1.628944038926e-12 
   94       3.382856158644e-10       1.194271711159e-11       1.593193286604e-12 
   95       3.423246181240e-10       1.162211191288e-11       1.558646327802e-12 
   96       3.463936224366e-10       1.131304910612e-11       1.525233796537e-12 
   97       3.504917080258e-10       1.101469670851e-11       1.492869339286e-12 
   98       3.546177123256e-10       1.072605747163e-11       1.461449046833e-12 
   99       3.587705205614e-10       1.044619742334e-11       1.430876211396e-12 
  100       3.629500008249e-10       1.017497989237e-11       1.401140827265e-12 
  101       3.671561852752e-10       9.912426084321e-12       1.372250347677e-12 
  102       3.713889779898e-10       9.658488074924e-12       1.344205106253e-12 
  103       3.756481495495e-10       9.413046341560e-12       1.316998055825e-12 
  104       3.799333316214e-10       9.175907294777e-12       1.290614507251e-12 
  105       3.842440115433e-10       8.946800809804e-12       1.265031868243e-12 
  106       3.885795269075e-10       8.725377758082e-12       1.240219382186e-12 
  107       3.929390601445e-10       8.511207538772e-12       1.216137866957e-12 
  108       3.973216331069e-10       8.303775610285e-12       1.192739453753e-12 
  109       4.017261016537e-10       8.102481021794e-12       1.169967325909e-12 
  110       4.061513487495e-10       7.906771881455e-12       1.147768843397e-12 
  111       4.105969034709e-10       7.716576761538e-12       1.126137385699e-12 
  112       4.150623914523e-10       7.531924141052e-12       1.105075400051e-12 
  113       4.195473400265e-10       7.352808304308e-12       1.084581366314e-12 
  114       4.240511747589e-10       7.179188228086e-12       1.064649667351e-12 
  115       4.285732159832e-10       7.010986468795e-12       1.045270459402e-12 
  116       4.331126753357e-10       6.848088049635e-12       1.026429542465e-12 
  117       4.376686522907e-10       6.690339347762e-12       1.008108230663e-12 
  118       4.422401306948e-10       6.537546981452e-12       9.902832226323e-13 
  119       4.468259753025e-10       6.389476697261e-12       9.729264718878e-13 
  120       4.514249283103e-10       6.245852257190e-12       9.560050572063e-13 
  121       4.560356058926e-10       6.106354325846e-12       9.394810530003e-13 
  122       4.606564947356e-10       5.970619357608e-12       9.233113996946e-13 
  123       4.652861337987e-10       5.838318048068e-12       9.074579842041e-13 
  124       4.699236906210e-10       5.709403263856e-12       8.919194687582e-13 
  125       4.745684450001e-10       5.583888630858e-12       8.767028913720e-13 
  126       4.792196077087e-10       5.461771039255e-12       8.618137344720e-13 
  127       4.838763184873e-10       5.343030156681e-12       8.472558756033e-13 
  128       4.885376440361e-10       5.227627941385e-12       8.330315381375e-13 
  129       4.932025760073e-10       5.115508155392e-12       8.191412419803e-13 
  130       4.978700289975e-10       5.006595877661e-12       8.055837542788e-13 
  131       5.025388385397e-10       4.900797017248e-12       7.923560401289e-13 
  132       5.072077590955e-10       4.797997826466e-12       7.794532132836e-13 
  133       5.118754620477e-10       4.698064414043e-12       7.668684868599e-13 
  134       5.165405336922e-10       4.600842258287e-12       7.545931240465e-13 
  135       5.212014732300e-10       4.506155720242e-12       7.426163888117e-13 
  136       5.258566907601e-10       4.413807556851e-12       7.309254966104e-13 
  137       5.305046448993e-10       4.323620773768e-12       7.195081734064e-13 
  138       5.351442759668e-10       4.235570102251e-12       7.083607359423e-13 
  139       5.397746140269e-10       4.149663267658e-12       6.974807580412e-13 
  140       5.443946421721e-10       4.065899654451e-12       6.868645048830e-13 
  141       5.490032954018e-10       3.984270088095e-12       6.765069002671e-13 
  142       5.535994595000e-10       3.904756616954e-12       6.664014938759e-13 
  143       5.581819699145e-10       3.827332294192e-12       6.565404285377e-13 
  144       5.627496106351e-10       3.751960959670e-12       6.469144074893e-13 
  145       5.673011130719e-10       3.678597021844e-12       6.375126616399e-13 
  146       5.718351549342e-10       3.607185239666e-12       6.283229168334e-13 
